PARCELID,FEDERAL_ID,STATE_ID,NAME,Population,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,TYPE,OWNER,OPERATING,OP_CLASS,YR_BUILT,FSOURCE,DATASOURCE,PROGRAMS,GRADES,LOW_GRADE,HIGH_GRADE,PRINCIPAL,ENROLLMENT,TEACHERS,STDTCH_RT,MIGRNT_STD,TITLE1SCHO,MAGNETINFO,COMMENTS,FREE_LUNCH,REDUCED_LU,FISH_FAC1,FISH_FAC2,BBSERVICE,BBPROVIDER,BBSPEED,DSTREAMSPD,FDOE_MSID,NCES_PUB,NCES_PRIV,FDOE_PRV,LAT_DD,LONG_DD,MGRS,GCID,ACRES,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE,AUTOID,AGELO,AGEHI,n
14571-000-000,451079,NA,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,59,305 SE 2ND AVE,GAINESVILLE,32601,ALACHUA,NA,COLLEGE/UNIVERSITY,"ACADEMY FOR FIVE ELEMENT, ACUP",PRIVATE,PRIVATE,1978,GEOPLAN,NCES 2014-2015 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,71,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.65006734,-82.32202285,17RLN7204380741,6608,0.7930453,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,V,3/29/2016,9/15/2017,6776,19,35,1
07332-200-002,406547,NA,CITY COLLEGE,510,2400 SW 13TH ST,GAINESVILLE,32608,ALACHUA,352-335-4000,COLLEGE/UNIVERSITY,CITY COLLEGE INC,PRIVATE,PRIVATE,1972,GEOPLAN,FDOE COLLEGE 2007,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,NA,NA,NA,29.62914982,-82.33996316,17RLN7028078443,1266,1.60999302,CITY COLLEGE,V,11/6/2007,9/15/2017,1287,19,35,2
10615-001-000,449481,NA,DRAGON RISES COLLEGE OF ORIENTAL MEDICINE,52,1000 NE 16TH AVE.,GAINESVILLE,32601,ALACHUA,NA,COLLEGE/UNIVERSITY,1000 NE 16TH AVE PARTNERS LLC,PRIVATE,PRIVATE,1983,GEOPLAN,NCES 2014-2015 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.66710095,-82.3133625,17RLN7290382619,6641,5.04802021,DRAGON RISES COLLEGE OF ORIENTAL MEDICINE,V,3/29/2016,9/15/2017,6805,19,35,1
06902-001-000,NA,NA,FAITH TABERNACLE OF PRAISE SCHOOL OF MINISTRY,NA,5505 SW 63RD BLVD,GAINESVILLE,32608,ALACHUA,352-336-0907,COLLEGE/UNIVERSITY,FAITH TABERNACLE OF PRAISE,PRIVATE,PRIVATE,1998,GEOPLAN,FDOE COLLEGE 2007,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.60314164,-82.40673988,17RLN6378075638,918,3.48023095,FAITH TABERNACLE OF PRAISE SCHOOL OF MINISTRY,V,11/6/2007,9/15/2017,787,19,35,1
07158-000-000,134024,NA,FLORIDA SCHOOL OF MASSAGE,64,6421 SW 13TH ST,GAINESVILLE,32608,ALACHUA,NA,COLLEGE/UNIVERSITY,FLORIDA SCHOOL OF MASSAGE INC,PRIVATE,PRIVATE,1961,GEOPLAN,NCES 2015-2016 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.59346485,-82.33825096,17RLN7040074487,8556,8.48368632,FLORIDA SCHOOL OF MASSAGE,V,4/17/2017,9/15/2017,8497,19,35,1
11950-000-000,457350,NA,FLORIDA SCHOOL OF TRADITIONAL MIDWIFERY,51,810 E UNIVERSITY AVE,GAINESVILLE,32601,ALACHUA,NA,COLLEGE/UNIVERSITY,FLORIDA SCHOOL OF TRADITIONAL,PRIVATE,PRIVATE,1900,GEOPLAN,NCES 2014-2015 COLLEGE,NA,COLLEGE,COLLEGE,COLLEGE,NA,49,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.65226583,-82.31583796,17RLN7264580978,6660,0.68962388,FLORIDA SCHOOL OF TRADITIONAL MIDWIFERY,V,3/29/2016,9/15/2017,6824,19,35,1
14497-000-000,NA,NA,SANTA FE COLLEGE - CHARLES L BLOUNT DOWNTOWN CENTER,226,401 NW 6TH ST,GAINESVILLE,32601,ALACHUA,352-395-5645,COLLEGE/UNIVERSITY,SANTA FE COLLEGE,STATE,PUBLIC,0,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.65461693,-82.33049679,17RLN7122981255,5532,4.89515561,SANTA FE COLLEGE - CHARLES L BLOUNT DOWNTOWN CENTER,V,5/14/2012,9/15/2017,5683,19,35,7
05048-001-002,NA,NA,SANTA FE COLLEGE - DAVIS CENTER,995,17500 SW ARCHER RD,ARCHER,32618,ALACHUA,352-395-5254,COLLEGE/UNIVERSITY,SANTA FE COLLEGE,STATE,PUBLIC,2003,GEOPLAN,FDOE COLLEGE 2012,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,(FORMERLY SANTA FE COMMUNITY COLLEGE),0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.53186048,-82.52792702,17RLN5193967887,2991,21.53984409,SANTA FE COLLEGE - DAVIS CENTER,V,5/14/2012,9/15/2017,2856,19,35,7
08191-010-002,137096,NA,SANTA FE COLLEGE - KIRKPATRICK CENTER,2785,3737 NE 39TH AVE,GAINESVILLE,32609,ALACHUA,352-334-0300,COLLEGE/UNIVERSITY,SANTA FE COLLEGE,STATE,PUBLIC,0,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.67627879,-82.27457128,17RLN7666883595,5534,60.25584864,SANTA FE COLLEGE - KIRKPATRICK CENTER,V,5/14/2012,9/15/2017,5685,19,35,7
06231-005-000,NA,NA,SANTA FE COLLEGE - NORTHWEST CAMPUS,8148,3000 NW 83RD ST,GAINESVILLE,32606,ALACHUA,352-395-5000,COLLEGE/UNIVERSITY,SANTA FE COLLEGE,STATE,PUBLIC,1972,GEOPLAN,FDOE COLLEGE 2012,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,(FORMERLY SANTA FE COMMUNITY COLLEGE),0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.68103546,-82.43323607,17RLN6132084301,3066,176.3011948,SANTA FE COLLEGE - NORTHWEST CAMPUS,V,5/14/2012,9/15/2017,2929,19,35,7
03191-010-002,NA,NA,SANTA FE COLLEGE - PERRY CENTER FOR EMERGING TECHNOLOGIES,278,14180 NW 119TH TERRACE,ALACHUA,32615,ALACHUA,352-381-3750,COLLEGE/UNIVERSITY,SANTA FE COLLEGE,STATE,PUBLIC,2009,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.78564607,-82.47359233,17RLN5756395944,7387,6.00821847,SANTA FE COLLEGE - PERRY CENTER FOR EMERGING TECHNOLOGIES,V,7/29/2016,9/15/2017,7210,19,35,7
15505-075-000,134130,NA,UNIVERSITY OF FLORIDA,52218,330 SW 13TH ST,GAINESVILLE,32601,ALACHUA,352-337-6900,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1950,GEOPLAN,FDOE COLLEGE 2007,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.64960825,-82.3398776,17RLN7031480710,3082,1982.590962,UNIVERSITY OF FLORIDA,V,11/6/2007,9/15/2017,3231,19,35,27
05757-000-000,NA,NA,UNIVERSITY OF FLORIDA - AGRONOMY LAB,NA,6100 NW 156TH AVE,GAINESVILLE,32653,ALACHUA,386-462-5521,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,0,GEOPLAN,FDOE COLLEGE 2007,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.80196634,-82.41057158,17RLN6367797676,3064,149.8619939,UNIVERSITY OF FLORIDA - AGRONOMY LAB,V,11/6/2007,9/15/2017,2927,19,35,27
07796-000-000,NA,NA,UNIVERSITY OF FLORIDA - BEEF RESEARCH UNIT,NA,9800 N COUNTY ROAD 225,GAINESVILLE,32609,ALACHUA,352-37-60458,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1900,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.74382831,-82.26498294,17RLN7767891070,5748,1142.349771,UNIVERSITY OF FLORIDA - BEEF RESEARCH UNIT,V,3/29/2016,9/15/2017,5610,19,35,27
03956-010-005,NA,NA,UNIVERSITY OF FLORIDA - COMPARATIVE MEDICINE,NA,13709 PROGRESS BLVD STE 10,ALACHUA,32615,ALACHUA,386-462-6660,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,0,GEOPLAN,FDOE COLLEGE 2007,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.78278573,-82.47488082,17RLN5743495628,3056,6.00284504,UNIVERSITY OF FLORIDA - COMPARATIVE MEDICINE,V,11/6/2007,9/15/2017,2919,19,35,27
05863-000-000,NA,NA,UNIVERSITY OF FLORIDA - DAIRY RESEARCH UNIT,NA,13200 NW 59TH DR,GAINESVILLE,32653,ALACHUA,386-462-4048,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1900,GEOPLAN,FDOE COLLEGE 2007,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,U,NA,NA,0,NA,5/16/2012,NA,NA,29.7786906,-82.41568506,17RLN6315195103,3063,996.0687642,UNIVERSITY OF FLORIDA - DAIRY RESEARCH UNIT,V,11/6/2007,9/15/2017,2926,19,35,27
10808-000-000,NA,NA,UNIVERSITY OF FLORIDA - EASTSIDE CAMPUS,NA,2046 NE WALDO RD,GAINESVILLE,32609,ALACHUA,352-273-1006,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1900,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.67201854,-82.29935575,17RLN7426583149,7439,20.72656341,UNIVERSITY OF FLORIDA - EASTSIDE CAMPUS,V,7/29/2016,9/15/2017,7261,19,35,27
02761-000-000,NA,NA,UNIVERSITY OF FLORIDA - IFAS - BOSTON FARM/ SANTA FE RIVER RANCH/ BEEF UNIT,NA,14202 NW 294 AVE,ALACHUA,32615,ALACHUA,NA,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1956,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.9257936,-82.495152,17RLP5568111502,5743,443.8542041,UNIVERSITY OF FLORIDA - IFAS - BOSTON FARM/ SANTA FE RIVER RANCH/ BEEF UNIT,V,3/29/2016,9/15/2017,5605,19,35,27
07137-000-000,NA,NA,UNIVERSITY OF FLORIDA - IFAS HORSE TEACHING UNIT - GAINESVILLE,NA,1934 SW 63RD AVE,GAINESVILLE,32608,ALACHUA,352-538-3560,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1945,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.59658913,-82.34681529,17RLN6957474843,5741,66.54831085,UNIVERSITY OF FLORIDA - IFAS HORSE TEACHING UNIT - GAINESVILLE,V,3/29/2016,9/15/2017,5603,19,35,27
16412-000-000,NA,NA,UNIVERSITY OF FLORIDA - RECSPORTS - LAKE WAUBURG,NA,133 REGATTA DR,MICANOPY,32667,ALACHUA,352-466-4112,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1939,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.53391229,-82.30577062,17RLN7347167852,5740,18.60067601,UNIVERSITY OF FLORIDA - RECSPORTS - LAKE WAUBURG,V,3/29/2016,9/15/2017,5602,19,35,27
06837-001-000,NA,NA,UNIVERSITY OF FLORIDA - TREEO CENTER,NA,3900 SW 63RD BLVD,GAINESVILLE,32608,ALACHUA,352-392-9570,COLLEGE/UNIVERSITY,UNIVERSITY OF FLORIDA,STATE,PUBLIC,1978,GEOPLAN,GEOPLAN,NA,COLLEGE,COLLEGE,COLLEGE,NA,0,0,0,0,NA,NO INFORMATION AVAILABLE,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,29.62002147,-82.41434701,17RLN6306677517,5742,4.99941237,UNIVERSITY OF FLORIDA - TREEO CENTER,V,3/29/2016,9/15/2017,5604,19,35,27
