Age,Year,Week,week_end_date,observed,expected,excess
85 years and older,2021,33,2021-08-21,1766,1135.51433442514,630.485665574855
85 years and older,2021,34,2021-08-28,1790,1135.9910814237,654.008918576295
85 years and older,2021,35,2021-09-04,1655,1163.50368278008,491.496317219918
85 years and older,2021,36,2021-09-11,1624,1146.50627651484,477.49372348516
85 years and older,2021,37,2021-09-18,1622,1182.77379752603,439.226202473966
85 years and older,2021,38,2021-09-25,1525,1147.07158135087,377.928418649128
85 years and older,2021,39,2021-10-02,1418,1183.66747614131,234.332523858691
85 years and older,2021,40,2021-10-09,1420,1193.50387125068,226.496128749324
85 years and older,2021,41,2021-10-16,1398,1197.79383461331,200.20616538669
85 years and older,2021,42,2021-10-23,1327,1162.16007070157,164.839929298428
85 years and older,2021,43,2021-10-30,1336,1133.49509048331,202.504909516693
85 years and older,2021,44,2021-11-06,1266,1210.65354684222,55.346453157779
85 years and older,2021,45,2021-11-13,1327,1238.3010942699,88.6989057300975
85 years and older,2021,46,2021-11-20,1366,1267.95887425975,98.0411257402461
85 years and older,2021,47,2021-11-27,1301,1222.82899921553,78.1710007844702
85 years and older,2021,48,2021-12-04,1407,1234.97714048973,172.02285951027
85 years and older,2021,49,2021-12-11,1365,1327.13215914979,37.8678408502124
85 years and older,2021,50,2021-12-18,1286,1363.06335149025,-77.0633514902493
85 years and older,2021,51,2021-12-25,1300,1317.50450105538,-17.5045010553822
85 years and older,2021,52,2022-01-01,1398,1394.71931813829,3.28068186171026
85 years and older,2022,1,2022-01-08,1579,1352.03954614305,226.960453856954
85 years and older,2022,2,2022-01-15,1835,1377.07337102291,457.926628977093
85 years and older,2022,3,2022-01-22,1942,1391.24906088385,550.750939116153
85 years and older,2022,4,2022-01-29,1904,1334.91992749274,569.080072507259
85 years and older,2022,5,2022-02-05,1841,1416.36920560105,424.630794398947
85 years and older,2022,6,2022-02-12,1736,1412.61116497165,323.388835028353
85 years and older,2022,7,2022-02-19,1615,1396.28769414554,218.712305854457
85 years and older,2022,8,2022-02-26,1490,1363.77257512053,126.22742487947
85 years and older,2022,9,2022-03-05,1411,1352.98641318757,58.0135868124291
85 years and older,2022,10,2022-03-12,1379,1398.73111759087,-19.7311175908737
85 years and older,2022,11,2022-03-19,1323,1400.27702447883,-77.2770244788324
85 years and older,2022,12,2022-03-26,1276,1442.38153506389,-166.381535063892
85 years and older,2022,13,2022-04-02,1360,1375.32305235607,-15.3230523560737
85 years and older,2022,14,2022-04-09,1297,1347.71560117852,-50.7156011785187
85 years and older,2022,15,2022-04-16,1248,1332.27161463682,-84.2716146368175
85 years and older,2022,16,2022-04-23,1325,1306.83929930247,18.1607006975351
85 years and older,2022,17,2022-04-30,1323,1298.14225878065,24.8577412193526
85 years and older,2022,18,2022-05-07,1301,1306.11031962602,-5.1103196260226
85 years and older,2022,19,2022-05-14,1275,1265.95340325003,9.0465967499706
85 years and older,2022,20,2022-05-21,1323,1311.89415435995,11.1058456400458
Under 25 years,2020,11,2020-03-14,94,74.2765517136778,19.7234482863223
Under 25 years,2020,12,2020-03-21,79,74.9566445978346,4.04335540216542
Under 25 years,2020,13,2020-03-28,86,75.0016525288963,10.9983474711038
Under 25 years,2020,14,2020-04-04,79,75.0046311130068,3.99536888699321
Under 25 years,2020,15,2020-04-11,92,75.0048282330053,16.9951717669947
Under 25 years,2020,16,2020-04-18,70,75.0048412782283,-5.00484127822826
Under 25 years,2020,17,2020-04-25,87,75.0048421415493,11.9951578584507
Under 25 years,2020,18,2020-05-02,77,75.0048421986831,1.99515780131691
Under 25 years,2020,19,2020-05-09,88,75.0048422024642,12.9951577975358
Under 25 years,2020,20,2020-05-16,77,75.0048422027144,1.99515779728561
Under 25 years,2020,21,2020-05-23,70,75.0048422027309,-5.00484220273094
Under 25 years,2020,22,2020-05-30,76,75.004842202732,0.995157797267964
Under 25 years,2020,23,2020-06-06,94,75.0048422027321,18.9951577972679
Under 25 years,2020,24,2020-06-13,82,75.0048422027321,6.99515779726789
Under 25 years,2020,25,2020-06-20,90,75.0048422027321,14.9951577972679
Under 25 years,2020,26,2020-06-27,92,75.0048422027321,16.9951577972679
Under 25 years,2020,27,2020-07-04,89,75.0048422027321,13.9951577972679
Under 25 years,2020,28,2020-07-11,68,75.0048422027321,-7.00484220273211
Under 25 years,2020,29,2020-07-18,90,75.0048422027321,14.9951577972679
Under 25 years,2020,30,2020-07-25,71,75.0048422027321,-4.00484220273211
Under 25 years,2020,31,2020-08-01,87,75.0048422027321,11.9951577972679
Under 25 years,2020,32,2020-08-08,70,75.0048422027321,-5.00484220273211
Under 25 years,2020,33,2020-08-15,75,75.0048422027321,-0.00484220273210667
Under 25 years,2020,34,2020-08-22,72,75.0048422027321,-3.00484220273211
Under 25 years,2020,35,2020-08-29,75,75.0048422027321,-0.00484220273210667
Under 25 years,2020,36,2020-09-05,83,75.0048422027321,7.99515779726789
Under 25 years,2020,37,2020-09-12,84,75.0048422027321,8.99515779726789
Under 25 years,2020,38,2020-09-19,87,75.0048422027321,11.9951577972679
Under 25 years,2020,39,2020-09-26,70,75.0048422027321,-5.00484220273211
Under 25 years,2020,40,2020-10-03,79,75.0048422027321,3.99515779726789
Under 25 years,2020,41,2020-10-10,91,75.0048422027321,15.9951577972679
Under 25 years,2020,42,2020-10-17,76,75.0048422027321,0.995157797267893
Under 25 years,2020,43,2020-10-24,70,75.0048422027321,-5.00484220273211
Under 25 years,2020,44,2020-10-31,70,75.0048422027321,-5.00484220273211
Under 25 years,2020,45,2020-11-07,80,75.0048422027321,4.99515779726789
Under 25 years,2020,46,2020-11-14,79,75.0048422027321,3.99515779726789
Under 25 years,2020,47,2020-11-21,77,75.0048422027321,1.99515779726789
Under 25 years,2020,48,2020-11-28,85,75.0048422027321,9.99515779726789
Under 25 years,2020,49,2020-12-05,76,75.0048422027321,0.995157797267893
Under 25 years,2020,50,2020-12-12,57,75.0048422027321,-18.0048422027321
Under 25 years,2020,51,2020-12-19,57,75.0048422027321,-18.0048422027321
Under 25 years,2020,52,2020-12-26,63,75.0048422027321,-12.0048422027321
Under 25 years,2020,53,2021-01-02,69,75.0048422027321,-6.00484220273211
Under 25 years,2021,2,2021-01-16,62,75.0048422027321,-13.0048422027321
Under 25 years,2021,3,2021-01-23,73,75.0048422027321,-2.00484220273211
Under 25 years,2021,4,2021-01-30,73,75.0048422027321,-2.00484220273211
Under 25 years,2021,5,2021-02-06,79,75.0048422027321,3.99515779726789
Under 25 years,2021,6,2021-02-13,83,75.0048422027321,7.99515779726789
Under 25 years,2021,7,2021-02-20,91,75.0048422027321,15.9951577972679
Under 25 years,2021,8,2021-02-27,78,75.0048422027321,2.99515779726789
Under 25 years,2021,9,2021-03-06,77,75.0048422027321,1.99515779726789
Under 25 years,2021,10,2021-03-13,71,75.0048422027321,-4.00484220273211
Under 25 years,2021,11,2021-03-20,83,75.0048422027321,7.99515779726789
Under 25 years,2021,12,2021-03-27,78,75.0048422027321,2.99515779726789
Under 25 years,2021,13,2021-04-03,70,75.0048422027321,-5.00484220273211
Under 25 years,2021,14,2021-04-10,66,75.0048422027321,-9.00484220273211
Under 25 years,2021,15,2021-04-17,86,75.0048422027321,10.9951577972679
Under 25 years,2021,16,2021-04-24,83,75.0048422027321,7.99515779726789
Under 25 years,2021,17,2021-05-01,86,75.0048422027321,10.9951577972679
Under 25 years,2021,18,2021-05-08,89,75.0048422027321,13.9951577972679
Under 25 years,2021,19,2021-05-15,99,75.0048422027321,23.9951577972679
Under 25 years,2021,20,2021-05-22,74,75.0048422027321,-1.00484220273211
Under 25 years,2021,21,2021-05-29,92,75.0048422027321,16.9951577972679
Under 25 years,2021,22,2021-06-05,101,75.0048422027321,25.9951577972679
Under 25 years,2021,23,2021-06-12,83,75.0048422027321,7.99515779726789
Under 25 years,2021,24,2021-06-19,84,75.0048422027321,8.99515779726789
Under 25 years,2021,25,2021-06-26,94,75.0048422027321,18.9951577972679
Under 25 years,2021,26,2021-07-03,76,75.0048422027321,0.995157797267893
Under 25 years,2021,27,2021-07-10,92,75.0048422027321,16.9951577972679
Under 25 years,2021,28,2021-07-17,92,75.0048422027321,16.9951577972679
Under 25 years,2021,29,2021-07-24,100,75.0048422027321,24.9951577972679
Under 25 years,2021,30,2021-07-31,98,75.0048422027321,22.9951577972679
Under 25 years,2021,31,2021-08-07,76,75.0048422027321,0.995157797267893
Under 25 years,2021,32,2021-08-14,92,75.0048422027321,16.9951577972679
Under 25 years,2021,33,2021-08-21,82,75.0048422027321,6.99515779726789
Under 25 years,2021,34,2021-08-28,103,75.0048422027321,27.9951577972679
Under 25 years,2021,35,2021-09-04,104,75.0048422027321,28.9951577972679
Under 25 years,2021,36,2021-09-11,89,75.0048422027321,13.9951577972679
Under 25 years,2021,37,2021-09-18,86,75.0048422027321,10.9951577972679
Under 25 years,2021,38,2021-09-25,90,75.0048422027321,14.9951577972679
Under 25 years,2021,39,2021-10-02,92,75.0048422027321,16.9951577972679
Under 25 years,2021,40,2021-10-09,82,75.0048422027321,6.99515779726789
Under 25 years,2021,41,2021-10-16,90,75.0048422027321,14.9951577972679
Under 25 years,2021,42,2021-10-23,71,75.0048422027321,-4.00484220273211
Under 25 years,2021,43,2021-10-30,88,75.0048422027321,12.9951577972679
Under 25 years,2021,44,2021-11-06,91,75.0048422027321,15.9951577972679
Under 25 years,2021,45,2021-11-13,86,75.0048422027321,10.9951577972679
Under 25 years,2021,46,2021-11-20,82,75.0048422027321,6.99515779726789
Under 25 years,2021,47,2021-11-27,83,75.0048422027321,7.99515779726789
Under 25 years,2021,48,2021-12-04,68,75.0048422027321,-7.00484220273211
Under 25 years,2021,49,2021-12-11,73,75.0048422027321,-2.00484220273211
Under 25 years,2021,50,2021-12-18,75,75.0048422027321,-0.00484220273210667
Under 25 years,2021,51,2021-12-25,70,75.0048422027321,-5.00484220273211
Under 25 years,2021,52,2022-01-01,93,75.0048422027321,17.9951577972679
Under 25 years,2022,1,2022-01-08,99,75.0048422027321,23.9951577972679
Under 25 years,2022,2,2022-01-15,82,75.0048422027321,6.99515779726789
Under 25 years,2022,3,2022-01-22,96,75.0048422027321,20.9951577972679
Under 25 years,2022,4,2022-01-29,79,75.0048422027321,3.99515779726789
Under 25 years,2022,5,2022-02-05,75,75.0048422027321,-0.00484220273210667
Under 25 years,2022,6,2022-02-12,80,75.0048422027321,4.99515779726789
Under 25 years,2022,7,2022-02-19,62,75.0048422027321,-13.0048422027321
Under 25 years,2022,8,2022-02-26,84,75.0048422027321,8.99515779726789
Under 25 years,2022,9,2022-03-05,89,75.0048422027321,13.9951577972679
Under 25 years,2022,10,2022-03-12,64,75.0048422027321,-11.0048422027321
Under 25 years,2022,11,2022-03-19,66,75.0048422027321,-9.00484220273211
Under 25 years,2022,12,2022-03-26,71,75.0048422027321,-4.00484220273211
Under 25 years,2022,13,2022-04-02,74,75.0048422027321,-1.00484220273211
Under 25 years,2022,14,2022-04-09,66,75.0048422027321,-9.00484220273211
Under 25 years,2022,15,2022-04-16,74,75.0048422027321,-1.00484220273211
Under 25 years,2022,16,2022-04-23,73,75.0048422027321,-2.00484220273211
Under 25 years,2022,17,2022-04-30,74,75.0048422027321,-1.00484220273211
Under 25 years,2022,18,2022-05-07,67,75.0048422027321,-8.00484220273211
Under 25 years,2022,19,2022-05-14,61,75.0048422027321,-14.0048422027321
Under 25 years,2022,20,2022-05-21,70,75.0048422027321,-5.00484220273211
All age,2020,11,2020-03-14,4435,4474.01846630266,-39.018466302663
All age,2020,12,2020-03-21,4362,4429.83922463373,-67.8392246337326
All age,2020,13,2020-03-28,4461,4447.06628251605,13.9337174839511
All age,2020,14,2020-04-04,4497,4376.4190049468,120.580995053198
All age,2020,15,2020-04-11,4544,4318.48903496784,225.510965032161
All age,2020,16,2020-04-18,4415,4208.56875498235,206.431245017655
All age,2020,17,2020-04-25,4555,4160.0861717383,394.913828261701
All age,2020,18,2020-05-02,4352,4158.29593863968,193.704061360322
All age,2020,19,2020-05-09,4407,4131.87421157373,275.125788426271
All age,2020,20,2020-05-16,4279,4084.18012238914,194.819877610859
All age,2020,21,2020-05-23,4360,3942.48907295899,417.51092704101
All age,2020,22,2020-05-30,4211,4060.1729911976,150.827008802398
All age,2020,23,2020-06-06,4265,4077.35416963828,187.645830361716
All age,2020,24,2020-06-13,4253,3946.66272608794,306.33727391206
All age,2020,25,2020-06-20,4407,3998.96683298924,408.033167010756
All age,2020,26,2020-06-27,4502,3907.27967060538,594.720329394619
All age,2020,27,2020-07-04,4724,4072.93956537569,651.060434624315
All age,2020,28,2020-07-11,5084,3907.07555299123,1176.92444700877
All age,2020,29,2020-07-18,5508,3858.54817062047,1649.45182937953
All age,2020,30,2020-07-25,5702,3865.05022344442,1836.94977655558
All age,2020,31,2020-08-01,5791,3908.10116956221,1882.89883043779
All age,2020,32,2020-08-08,5582,3822.64777842208,1759.35222157792
All age,2020,33,2020-08-15,5509,3724.09016765012,1784.90983234988
All age,2020,34,2020-08-22,5202,3817.50869786303,1384.49130213697
All age,2020,35,2020-08-29,5015,3819.09251153159,1195.90748846841
All age,2020,36,2020-09-05,4758,3809.98828223227,948.011717767731
All age,2020,37,2020-09-12,4511,3906.80641246631,604.193587533691
All age,2020,38,2020-09-19,4667,3881.58547713208,785.414522867921
All age,2020,39,2020-09-26,4444,3862.2051720853,581.794827914699
All age,2020,40,2020-10-03,4346,3911.54566367339,434.454336326607
All age,2020,41,2020-10-10,4523,3934.77943416116,588.220565838839
All age,2020,42,2020-10-17,4387,3842.46710775359,544.53289224641
All age,2020,43,2020-10-24,4335,3906.45623743437,428.543762565634
All age,2020,44,2020-10-31,4265,3929.14016444069,335.859835559311
All age,2020,45,2020-11-07,4305,4016.58213555646,288.41786444354
All age,2020,46,2020-11-14,4487,4130.72186855329,356.278131446708
All age,2020,47,2020-11-21,4560,4079.55359970624,480.446400293762
All age,2020,48,2020-11-28,4632,4101.47183133429,530.528168665715
All age,2020,49,2020-12-05,4908,4297.38466458394,610.615335416056
All age,2020,50,2020-12-12,5084,4352.57560216168,731.424397838323
All age,2020,51,2020-12-19,4944,4176.38269455333,767.617305446668
All age,2020,52,2020-12-26,5137,4356.86985186589,780.130148134107
All age,2020,53,2021-01-02,5709,4356.86985186589,1352.13014813411
All age,2021,2,2021-01-16,5922,4419.74027395877,1502.25972604123
All age,2021,3,2021-01-23,5662,4406.1282313037,1255.8717686963
All age,2021,4,2021-01-30,5490,4397.16598483386,1092.83401516614
All age,2021,5,2021-02-06,5569,4491.11524813305,1077.88475186695
All age,2021,6,2021-02-13,5460,4465.12154053573,994.878459464269
All age,2021,7,2021-02-20,5119,4430.63668207564,688.363317924359
All age,2021,8,2021-02-27,4894,4405.19392446893,488.806075531075
All age,2021,9,2021-03-06,4819,4454.86253068222,364.137469317784
All age,2021,10,2021-03-13,4635,4455.86691525772,179.133084742281
All age,2021,11,2021-03-20,4584,4448.95278082703,135.047219172972
All age,2021,12,2021-03-27,4731,4424.39694272622,306.603057273785
All age,2021,13,2021-04-03,4478,4511.56746107971,-33.5674610797114
All age,2021,14,2021-04-10,4699,4412.63583374666,286.364166253344
All age,2021,15,2021-04-17,4641,4406.61558511559,234.384414884415
All age,2021,16,2021-04-24,4716,4266.63494723714,449.365052762865
All age,2021,17,2021-05-01,4476,4251.26374228579,224.736257714212
All age,2021,18,2021-05-08,4591,4225.54628865378,365.453711346222
All age,2021,19,2021-05-15,4519,4238.40204089642,280.597959103578
All age,2021,20,2021-05-22,4576,4199.61644832174,376.383551678257
All age,2021,21,2021-05-29,4513,4052.53615030165,460.463849698349
All age,2021,22,2021-06-05,4379,4126.52865497162,252.471345028383
All age,2021,23,2021-06-12,4418,4146.95927249937,271.040727500634
All age,2021,24,2021-06-19,4381,4015.64422362506,365.355776374936
All age,2021,25,2021-06-26,4489,4082.57624366795,406.423756332052
All age,2021,26,2021-07-03,4396,3992.64616114379,403.353838856207
All age,2021,27,2021-07-10,4462,4102.71252360587,359.287476394135
All age,2021,28,2021-07-17,4493,4014.46029846165,478.539701538349
All age,2021,29,2021-07-24,4870,3933.77926775914,936.220732240859
All age,2021,30,2021-07-31,5324,3974.82974467239,1349.17025532761
All age,2021,31,2021-08-07,5977,4013.09097263957,1963.90902736043
All age,2021,32,2021-08-14,6638,3873.52767283728,2764.47232716272
All age,2021,33,2021-08-21,7165,3801.44568069226,3363.55431930774
All age,2021,34,2021-08-28,7347,3910.86724168212,3436.13275831788
All age,2021,35,2021-09-04,7182,3881.1975095374,3300.8024904626
All age,2021,36,2021-09-11,6792,3877.38492768122,2914.61507231878
All age,2021,37,2021-09-18,6283,3925.20573905714,2357.79426094286
All age,2021,38,2021-09-25,5845,3952.03333593809,1892.96666406191
All age,2021,39,2021-10-02,5492,3915.20215037474,1576.79784962526
All age,2021,40,2021-10-09,5104,3982.96558104799,1121.03441895201
All age,2021,41,2021-10-16,4922,4008.94721056812,913.052789431882
All age,2021,42,2021-10-23,4613,3909.15902396352,703.840976036482
All age,2021,43,2021-10-30,4587,3929.78786968601,657.212130313989
All age,2021,44,2021-11-06,4536,4017.43234293278,518.567657067219
All age,2021,45,2021-11-13,4546,4114.19456652302,431.805433476983
All age,2021,46,2021-11-20,4576,4220.1664700014,355.833529998605
All age,2021,47,2021-11-27,4343,4177.1796289504,165.820371049595
All age,2021,48,2021-12-04,4646,4183.88743279281,462.112567207194
All age,2021,49,2021-12-11,4624,4369.35784642476,254.642153575238
All age,2021,50,2021-12-18,4546,4450.66768957574,95.3323104242591
All age,2021,51,2021-12-25,4530,4272.66053655686,257.339463443137
All age,2021,52,2022-01-01,4869,4443.38467097727,425.615329022728
All age,2022,1,2022-01-08,5215,4391.67881907882,823.321180921179
All age,2022,2,2022-01-15,5750,4524.42549774434,1225.57450225566
All age,2022,3,2022-01-22,5994,4504.91005379155,1489.08994620845
All age,2022,4,2022-01-29,6109,4501.17179524477,1607.82820475523
All age,2022,5,2022-02-05,6006,4565.59953615377,1440.40046384623
All age,2022,6,2022-02-12,5675,4534.83739435633,1140.16260564367
All age,2022,7,2022-02-19,5418,4505.34902764719,912.650972352808
All age,2022,8,2022-02-26,5016,4519.19383511077,496.806164889233
All age,2022,9,2022-03-05,4774,4536.61540291819,237.384597081808
All age,2022,10,2022-03-12,4806,4595.75601217779,210.243987822215
All age,2022,11,2022-03-19,4567,4570.22456027753,-3.22456027752833
All age,2022,12,2022-03-26,4476,4536.31731560847,-60.3173156084649
All age,2022,13,2022-04-02,4587,4590.15672841664,-3.15672841664309
All age,2022,14,2022-04-09,4291,4504.7038257663,-213.703825766297
All age,2022,15,2022-04-16,4321,4473.94633380466,-152.946333804661
All age,2022,16,2022-04-23,4285,4348.29076584333,-63.2907658433251
All age,2022,17,2022-04-30,4354,4317.14054685436,36.8594531456411
All age,2022,18,2022-05-07,4346,4302.82545603817,43.1745439618298
All age,2022,19,2022-05-14,4303,4296.96377852372,6.03622147627539
All age,2022,20,2022-05-21,4355,4253.93289927364,101.067100726359
